IP_Address,Timestamp,Method,Resource,Protocol,Status Code,Bytes Sent,Referrer,User Agent,Source Port,Destination Port,Origin Server,Destination,Response Code,Response Time (seconds),Backend Time (seconds)
127.0.0.1,29/Oct/2024:05:17:54 +0000,GET,/,HTTP/1.1,401,58,-,curl/7.88.1,80,34420,localhost,172.18.0.6:8000,401,0.014,0.014
172.18.0.1,29/Oct/2024:05:18:23 +0000,POST,/register/,HTTP/1.1,400,58,-,python-requests/2.32.3,80,58820,localhost,172.18.0.8:8000,400,0.080,0.080
127.0.0.1,29/Oct/2024:05:18:24 +0000,GET,/,HTTP/1.1,401,58,-,curl/7.88.1,80,58834,localhost,172.18.0.6:8000,401,0.012,0.012
172.18.0.1,29/Oct/2024:05:18:24 +0000,POST,/register/,HTTP/1.1,400,58,-,python-requests/2.32.3,80,58828,localhost,172.18.0.7:8000,400,0.083,0.084
172.18.0.1,29/Oct/2024:05:18:26 +0000,POST,/register/,HTTP/1.1,400,58,-,python-requests/2.32.3,80,58842,localhost,172.18.0.8:8000,400,0.061,0.061
172.18.0.1,29/Oct/2024:05:18:36 +0000,GET,/admin/userManager/customuser/,HTTP/1.1,200,31657,http://localhost/admin/userManager/customuser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",80,38484,localhost,172.18.0.7:8000,200,0.127,0.128
172.18.0.1,29/Oct/2024:05:18:36 +0000,GET,/admin/jsi18n/,HTTP/1.1,200,3342,http://localhost/admin/userManager/customuser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",80,38484,localhost,172.18.0.6:8000,200,0.072,0.071
172.18.0.1,29/Oct/2024:05:18:41 +0000,POST,/admin/userManager/customuser/,HTTP/1.1,200,22199,http://localhost/admin/userManager/customuser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",80,38484,localhost,172.18.0.8:8000,200,0.212,0.212
172.18.0.1,29/Oct/2024:05:18:43 +0000,POST,/admin/userManager/customuser/,HTTP/1.1,302,0,http://localhost/admin/userManager/customuser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",80,38484,localhost,172.18.0.7:8000,302,0.244,0.245
172.18.0.1,29/Oct/2024:05:18:43 +0000,GET,/admin/userManager/customuser/,HTTP/1.1,200,26420,http://localhost/admin/userManager/customuser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",80,38484,localhost,172.18.0.6:8000,200,0.084,0.085
172.18.0.1,29/Oct/2024:05:18:43 +0000,GET,/admin/jsi18n/,HTTP/1.1,200,3342,http://localhost/admin/userManager/customuser/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",80,38484,localhost,172.18.0.8:8000,200,0.034,0.034
127.0.0.1,29/Oct/2024:05:18:54 +0000,GET,/,HTTP/1.1,401,58,-,curl/7.88.1,80,47144,localhost,172.18.0.6:8000,401,0.012,0.012
172.18.0.1,29/Oct/2024:05:18:59 +0000,POST,/register/,HTTP/1.1,201,732,-,python-requests/2.32.3,80,47130,localhost,172.18.0.7:8000,201,4.890,4.890
172.18.0.1,29/Oct/2024:05:19:00 +0000,POST,/login/,HTTP/1.1,200,732,-,python-requests/2.32.3,80,47150,localhost,172.18.0.8:8000,200,0.360,0.359
172.18.0.1,29/Oct/2024:05:19:00 +0000,GET,/users/pk/,HTTP/1.1,200,446,-,python-requests/2.32.3,80,46794,localhost,172.18.0.7:8000,200,0.033,0.033
172.18.0.1,29/Oct/2024:05:19:08 +0000,GET,/users/pk/,HTTP/1.1,200,446,-,python-requests/2.32.3,80,46808,localhost,172.18.0.8:8000,200,0.042,0.042
172.18.0.1,29/Oct/2024:05:19:10 +0000,POST,/register/,HTTP/1.1,201,736,-,python-requests/2.32.3,80,46796,localhost,172.18.0.6:8000,201,4.239,4.239
172.18.0.1,29/Oct/2024:05:19:11 +0000,POST,/login/,HTTP/1.1,200,736,-,python-requests/2.32.3,80,41118,localhost,172.18.0.7:8000,200,0.369,0.370
172.18.0.1,29/Oct/2024:05:19:11 +0000,GET,/users/pk/,HTTP/1.1,200,455,-,python-requests/2.32.3,80,41126,localhost,172.18.0.6:8000,200,0.036,0.036
172.18.0.1,29/Oct/2024:05:19:14 +0000,PATCH,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,41130,localhost,172.18.0.8:8000,200,0.119,0.119
172.18.0.1,29/Oct/2024:05:19:17 +0000,GET,/users/pk/,HTTP/1.1,200,446,-,python-requests/2.32.3,80,41144,localhost,172.18.0.7:8000,200,0.038,0.039
172.18.0.1,29/Oct/2024:05:19:19 +0000,POST,/register/,HTTP/1.1,201,738,-,python-requests/2.32.3,80,41160,localhost,172.18.0.7:8000,201,2.606,2.603
172.18.0.1,29/Oct/2024:05:19:20 +0000,POST,/login/,HTTP/1.1,200,738,-,python-requests/2.32.3,80,36436,localhost,172.18.0.6:8000,200,0.341,0.342
172.18.0.1,29/Oct/2024:05:19:20 +0000,PATCH,/users/pk/,HTTP/1.1,200,461,-,python-requests/2.32.3,80,36452,localhost,172.18.0.8:8000,200,0.060,0.059
172.18.0.1,29/Oct/2024:05:19:21 +0000,PATCH,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,36464,localhost,172.18.0.7:8000,200,0.064,0.065
172.18.0.1,29/Oct/2024:05:19:21 +0000,GET,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,36476,localhost,172.18.0.6:8000,200,0.028,0.027
127.0.0.1,29/Oct/2024:05:19:24 +0000,GET,/,HTTP/1.1,401,58,-,curl/7.88.1,80,36482,localhost,172.18.0.8:8000,401,0.015,0.015
172.18.0.1,29/Oct/2024:05:19:28 +0000,PATCH,/users/pk/,HTTP/1.1,200,461,-,python-requests/2.32.3,80,36498,localhost,172.18.0.7:8000,200,0.078,0.078
172.18.0.1,29/Oct/2024:05:19:29 +0000,GET,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,36508,localhost,172.18.0.6:8000,200,0.051,0.051
172.18.0.1,29/Oct/2024:05:19:29 +0000,PATCH,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,36524,localhost,172.18.0.8:8000,200,0.078,0.078
172.18.0.1,29/Oct/2024:05:19:32 +0000,PATCH,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,36108,localhost,172.18.0.7:8000,200,0.051,0.051
172.18.0.1,29/Oct/2024:05:19:34 +0000,GET,/users/pk/,HTTP/1.1,200,461,-,python-requests/2.32.3,80,36124,localhost,172.18.0.6:8000,200,0.051,0.051
172.18.0.1,29/Oct/2024:05:19:35 +0000,GET,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,36132,localhost,172.18.0.8:8000,200,0.070,0.070
172.18.0.1,29/Oct/2024:05:19:35 +0000,PATCH,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,36138,localhost,172.18.0.7:8000,200,0.092,0.092
172.18.0.1,29/Oct/2024:05:19:37 +0000,GET,/users/pk/,HTTP/1.1,200,461,-,python-requests/2.32.3,80,36152,localhost,172.18.0.6:8000,200,0.064,0.063
172.18.0.1,29/Oct/2024:05:19:40 +0000,GET,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,38398,localhost,172.18.0.7:8000,200,0.037,0.037
172.18.0.1,29/Oct/2024:05:19:41 +0000,POST,/register/,HTTP/1.1,201,732,-,python-requests/2.32.3,80,36160,localhost,172.18.0.8:8000,201,3.658,3.659
172.18.0.1,29/Oct/2024:05:19:42 +0000,POST,/login/,HTTP/1.1,200,732,-,python-requests/2.32.3,80,38402,localhost,172.18.0.7:8000,200,0.380,0.379
172.18.0.1,29/Oct/2024:05:19:43 +0000,GET,/users/pk/,HTTP/1.1,200,446,-,python-requests/2.32.3,80,38408,localhost,172.18.0.6:8000,200,0.048,0.049
172.18.0.1,29/Oct/2024:05:19:43 +0000,PATCH,/users/pk/,HTTP/1.1,200,461,-,python-requests/2.32.3,80,38418,localhost,172.18.0.8:8000,200,0.075,0.075
172.18.0.1,29/Oct/2024:05:19:44 +0000,GET,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,38424,localhost,172.18.0.7:8000,200,0.068,0.067
172.18.0.1,29/Oct/2024:05:19:46 +0000,GET,/users/pk/,HTTP/1.1,200,461,-,python-requests/2.32.3,80,38432,localhost,172.18.0.6:8000,200,0.047,0.046
172.18.0.1,29/Oct/2024:05:19:46 +0000,POST,/logout/,HTTP/1.1,200,152,-,python-requests/2.32.3,80,38446,localhost,172.18.0.8:8000,200,0.030,0.031
172.18.0.1,29/Oct/2024:05:19:50 +0000,PATCH,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,39582,localhost,172.18.0.6:8000,200,0.075,0.075
172.18.0.1,29/Oct/2024:05:19:51 +0000,GET,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,39584,localhost,172.18.0.8:8000,200,0.027,0.027
172.18.0.1,29/Oct/2024:05:19:51 +0000,GET,/users/pk/,HTTP/1.1,200,461,-,python-requests/2.32.3,80,39600,localhost,172.18.0.7:8000,200,0.058,0.058
172.18.0.1,29/Oct/2024:05:19:51 +0000,POST,/register/,HTTP/1.1,201,736,-,python-requests/2.32.3,80,38458,localhost,172.18.0.7:8000,201,2.893,2.892
172.18.0.1,29/Oct/2024:05:19:53 +0000,GET,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,39632,localhost,172.18.0.8:8000,200,0.033,0.032
172.18.0.1,29/Oct/2024:05:19:53 +0000,POST,/login/,HTTP/1.1,200,736,-,python-requests/2.32.3,80,39616,localhost,172.18.0.6:8000,200,0.483,0.483
172.18.0.1,29/Oct/2024:05:19:53 +0000,GET,/users/pk/,HTTP/1.1,200,455,-,python-requests/2.32.3,80,39636,localhost,172.18.0.7:8000,200,0.044,0.044
172.18.0.1,29/Oct/2024:05:19:54 +0000,GET,/users/pk/,HTTP/1.1,200,461,-,python-requests/2.32.3,80,39652,localhost,172.18.0.6:8000,200,0.046,0.046
127.0.0.1,29/Oct/2024:05:19:54 +0000,GET,/,HTTP/1.1,401,58,-,curl/7.88.1,80,39666,localhost,172.18.0.8:8000,401,0.009,0.009
172.18.0.1,29/Oct/2024:05:19:56 +0000,DELETE,/users/pk/,HTTP/1.1,204,0,-,python-requests/2.32.3,80,39672,localhost,172.18.0.7:8000,204,0.086,0.085
172.18.0.1,29/Oct/2024:05:19:59 +0000,POST,/logout/,HTTP/1.1,200,152,-,python-requests/2.32.3,80,39686,localhost,172.18.0.8:8000,200,0.023,0.023
172.18.0.1,29/Oct/2024:05:20:00 +0000,GET,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,33634,localhost,172.18.0.7:8000,200,0.054,0.054
172.18.0.1,29/Oct/2024:05:20:01 +0000,PATCH,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,33646,localhost,172.18.0.6:8000,200,0.140,0.139
172.18.0.1,29/Oct/2024:05:20:03 +0000,GET,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,33662,localhost,172.18.0.7:8000,200,0.039,0.038
172.18.0.1,29/Oct/2024:05:20:06 +0000,POST,/register/,HTTP/1.1,201,738,-,python-requests/2.32.3,80,33650,localhost,172.18.0.8:8000,201,3.541,3.541
172.18.0.1,29/Oct/2024:05:20:07 +0000,POST,/login/,HTTP/1.1,200,738,-,python-requests/2.32.3,80,33666,localhost,172.18.0.6:8000,200,0.452,0.451
172.18.0.1,29/Oct/2024:05:20:07 +0000,GET,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,33678,localhost,172.18.0.8:8000,200,0.049,0.049
172.18.0.1,29/Oct/2024:05:20:08 +0000,PATCH,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,33692,localhost,172.18.0.7:8000,200,0.115,0.115
172.18.0.1,29/Oct/2024:05:20:10 +0000,POST,/logout/,HTTP/1.1,200,152,-,python-requests/2.32.3,80,37614,localhost,172.18.0.6:8000,200,0.067,0.068
172.18.0.1,29/Oct/2024:05:20:11 +0000,PATCH,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,37628,localhost,172.18.0.8:8000,200,0.057,0.057
172.18.0.1,29/Oct/2024:05:20:12 +0000,PATCH,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,37642,localhost,172.18.0.7:8000,200,0.100,0.100
172.18.0.1,29/Oct/2024:05:20:21 +0000,PATCH,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,43910,localhost,172.18.0.6:8000,200,0.064,0.063
172.18.0.1,29/Oct/2024:05:20:21 +0000,GET,/users/pk/,HTTP/1.1,200,449,-,python-requests/2.32.3,80,43912,localhost,172.18.0.8:8000,200,0.030,0.030
127.0.0.1,29/Oct/2024:05:20:24 +0000,GET,/,HTTP/1.1,401,58,-,curl/7.88.1,80,43928,localhost,172.18.0.6:8000,401,0.017,0.016
172.18.0.1,29/Oct/2024:05:20:25 +0000,GET,/users/pk/,HTTP/1.1,200,458,-,python-requests/2.32.3,80,43938,localhost,172.18.0.8:8000,200,0.098,0.097
172.18.0.1,29/Oct/2024:05:20:26 +0000,POST,/register/,HTTP/1.1,201,732,-,python-requests/2.32.3,80,43920,localhost,172.18.0.7:8000,201,3.337,3.337
172.18.0.1,29/Oct/2024:05:20:27 +0000,DELETE,/users/pk/,HTTP/1.1,204,0,-,python-requests/2.32.3,80,43956,localhost,172.18.0.6:8000,204,0.070,0.070
172.18.0.1,29/Oct/2024:05:20:27 +0000,POST,/login/,HTTP/1.1,200,732,-,python-requests/2.32.3,80,43944,localhost,172.18.0.7:8000,200,0.409,0.409
